institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_total,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Amgueddfa Cymru,Museum Wales,https://survey.glamelab.org/institutions/amgueddfa-cymru,United Kingdom,,Museum,https://museum.wales/,https://www.wikidata.org/wiki/Q2046319,2025-10-01,https://www.museumsassociation.org/museums-journal/news/2025/10/new-digital-image-library-for-amgueddfa-cymru-museum-wales/,All eligible data,https://images.museumwales.ac.uk/terms?WINID=1760459114849,,Public domain,,,Free,,,0,,,,,,,,,,,,,,,,,,
Biodiversity Heritage Library,Biodiversity Heritage Library,https://survey.glamelab.org/institutions/biodiversity-heritage-library,International,,Aggregator,https://www.biodiversitylibrary.org,https://www.wikidata.org/wiki/Q172266,,,Some eligible data,,,Public domain,None,,None,,https://github.com/ropensci/rbhl,624158,Flickr,319661,https://www.flickr.com/photos/biodivlibrary/albums,Wikimedia Commons,304497,https://commons.wikimedia.org/wiki/Category:Files_from_the_Biodiversity_Heritage_Library,,,,,,,,,,,,
Geldersch Landschap & Kasteelen,Geldersch Landschap & Kasteelen,https://survey.glamelab.org/institutions/geldersch-landschap-and-kasteelen,Netherlands,,Visitor attraction,https://www.glk.nl/,https://www.wikidata.org/wiki/Q98904445,,,Some eligible data,,,Public domain,None,,None,,,11790,Europeana,5699,https://www.europeana.eu/search?page=1&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22Geldersch%20Landschap%20%5C%26%20Kasteelen%22&reusability=open,CollectieGelderland.nl,6091,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Geldersch%20Landschap%20%26%20Kasteelen,,,,,,,,,,,,
Kasteel Huis Bergh,Castle Huis Bergh,https://survey.glamelab.org/institutions/kasteel-huis-bergh,Netherlands,,Visitor attraction,https://huisbergh.nl,https://www.wikidata.org/wiki/Q99370641,,,Some eligible data,,,Public domain,None,,None,,,3104,Europeana,1552,https://www.europeana.eu/collections/organisation/1482250000004506282-castle-huis-bergh?page=1&reusability=open,CollectieGelderland.nl,1552,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Kasteel%20Huis%20Bergh,,,,,,,,,,,,
Museum Het Pakhuis,Museum Het Pakhuis,https://survey.glamelab.org/institutions/museum-het-pakhuis,Netherlands,,Museum,https://hetpakhuisermelo.nl/,https://www.wikidata.org/wiki/Q56459673,,,Some eligible data,,,Open,None,,Paid,,,501,Europeana,236,https://www.europeana.eu/collections/organisation/1482250000004510511-museum-het-pakhuis?page=1&reusability=open,CollectieGelderland.nl,265,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Museum%20Het%20Pakhuis,,,,,,,,,,,,
Museum Vliegbasis Deelen,Museum Vliegbasis Deelen,https://survey.glamelab.org/institutions/museum-vliegbasis-deelen,Netherlands,,Museum,https://www.museumdeelen.nl/,https://www.wikidata.org/wiki/Q98893863,,,Some eligible data,,,Open,None,,Paid,,,8382,Own website,7729,https://www.archief.museumdeelen.nl/?mode=gallery&view=horizontal&sort=random%7B1643818851706%7D%20asc,Europeana,235,https://www.europeana.eu/search?page=1&qf=DATA_PROVIDER%3A%22Deelen%20Airbase%20Museum%22&query=deelen&reusability=open&view=grid,CollectieGelderland.nl,418,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Museum%20Vliegbasis%20Deelen,,,,,,,,,
Nationaal Orgelmuseum,National Organ Museum,https://survey.glamelab.org/institutions/nationaal-orgelmuseum,Netherlands,,Museum,https://www.nationaalorgelmuseum.nl,https://www.wikidata.org/wiki/Q28151370,,,Some eligible data,,,Public domain,None,,Paid,,,5822,Europeana,2707,https://www.europeana.eu/en/search?page=1&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22National%20Organ%20Museum%22&query=&reusability=open,CollectieGelderland.nl,3115,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Nationaal%20Orgelmuseum,,,,,,,,,,,,
Openluchtmuseum,Open Air Museum,https://survey.glamelab.org/institutions/openluchtmuseum,Netherlands,,Museum,https://openluchtmuseum.nl,https://www.wikidata.org/wiki/Q674449,,,Some eligible data,,,Open,None,,Paid,,,53921,Europeana,10059,https://www.europeana.eu/collections/organisation/1482250000004511855-dutch-open-air-museum?page=1&reusability=open,CollectieGelderland.nl,43862,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Nederlands%20Openluchtmuseum,,,,,,,,,,,,
NOC*NSF,NOC*NSF,https://survey.glamelab.org/institutions/noc-nsf,Netherlands,,Other,https://www.nocnsf.nl,https://www.wikidata.org/wiki/Q1650156,,,Some eligible data,,,Public domain,None,,None,,,6990,Europeana,2738,https://www.europeana.eu/search?query=&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22The%20Dutch%20Olympic%20Committee%2C%20Dutch%20Sports%20Federation%22&reusability=open,CollectieGelderland.nl,4252,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-NOC*NSF,,,,,,,,,,,,
Regionaal Archief Nijmegen,Regional Archive Nijmegen,https://survey.glamelab.org/institutions/regionaal-archief-nijmegen,Netherlands,,Archive,https://regionaalarchiefnijmegen.nl,https://www.wikidata.org/wiki/Q15881190,,,Some eligible data,,,Open,None,,None,,,117843,Europeana,47924,https://www.europeana.eu/collections/organisation/1482250000004513279-regional-archive-nijmegen?&reusability=open,CollectieGelderland.nl,69919,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Regionaal%20Archief%20Nijmegen,,,,,,,,,,,,
Regionaal Archief Zutphen,Regional Archive Zutphen,https://survey.glamelab.org/institutions/regionaal-archief-zutphen,Netherlands,,Archive,https://www.regionaalarchiefzutphen.nl,https://www.wikidata.org/wiki/Q76885143,,,Some eligible data,,,Open,None,,None,,,76060,Europeana,31206,https://www.europeana.eu/collections/organisation/1482250000004513282-zutphen-regional-archive?page=1&reusability=open,CollectieGelderland.nl,44854,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Regionaal%20Archief%20Zutphen,,,,,,,,,,,,
Rijksmuseum van Oudheden,National Museum of Antiquities,https://survey.glamelab.org/institutions/rijksmuseum-van-oudheden,Netherlands,,Museum,https://www.rmo.nl,https://www.wikidata.org/wiki/Q1860378,,,All eligible data,https://www.rmo.nl/onderzoek/fotoservice/,,Public domain,None,,Paid,,,149123,Own website,140000,https://www.rmo.nl/collectie/collectiezoeker,CollectieGelderland.nl,9123,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Rijksmuseum%20van%20Oudheden,,,,,,,,,,,,
Stadsmuseum Harderwijk,City Museum Harderwijk,https://survey.glamelab.org/institutions/stadsmuseum-harderwijk,Netherlands,,Museum,https://www.stadsmuseum-harderwijk.nl/,https://www.wikidata.org/wiki/Q56459713,,,Some eligible data,,,Open,None,,N/A,,,2,Europeana,1,https://www.europeana.eu/en/search?page=1&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22City%20Museum%20Harderwijk%22&query=&reusability=open,CollectieGelderland.nl,1,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Stadsmuseum%20Harderwijk,,,,,,,,,,,,
Stedelijk Museum Zutphen,Stedelijk Museum Zutphen,https://survey.glamelab.org/institutions/stedelijk-museum-zutphen,Netherlands,,Museum,https://www.museazutphen.nl,https://www.wikidata.org/wiki/Q2736515,,,Some eligible data,,,Public domain,CC0,https://www.collectiegelderland.nl/disclaimer,Paid,,,14877,Europeana,6849,https://www.europeana.eu/collections/organisation/1482250000004514757-city-museum-zutphen?page=1&reusability=open,CollectieGelderland.nl,8028,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Stedelijk%20Museum%20Zutphen,,,,,,,,,,,,
Vrijheidsmuseum,Freedom Museum,https://survey.glamelab.org/institutions/vrijheidsmuseum,Netherlands,,Museum,https://vrijheidsmuseum.nl,https://www.wikidata.org/wiki/Q1869397,,,Some eligible data,,,Open,None,,Paid,,,1102,Europeana,547,https://www.europeana.eu/search?query=&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22Freedom%20Museum%22&reusability=open,CollectieGelderland.nl,555,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Vrijheidsmuseum,,,,,,,,,,,,
CODA Apeldoorn,CODA Apeldoorn,https://survey.glamelab.org/institutions/coda-apeldoorn,Netherlands,,Government,https://www.coda-apeldoorn.nl,https://www.wikidata.org/wiki/Q13447121,,,Some eligible data,,,Open,None,,None,,,40224,Europeana,40135,https://www.europeana.eu/search?page=1&query=coda%20apeldoorn&reusability=open,CollectieGelderland.nl,89,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-CODA,,,,,,,,,,,,
National Archives and Records Administration,National Archives and Records Administration,https://survey.glamelab.org/institutions/national-archives-and-records-administration,United States of America,,Archive,https://www.archives.gov,https://www.wikidata.org/wiki/Q518155,,,All eligible data,https://www.archives.gov/global-pages/privacy.html,,Public domain,None,,None,,,4875350,Own website,0,https://catalog.archives.gov,Wikimedia Commons,1931228,https://commons.wikimedia.org/wiki/Category:Media_contributed_by_the_National_Archives_and_Records_Administration,DPLA,2944122,https://dp.la/search?partner=%22National+Archives+and+Records+Administration%22&rightsCategory=%22Unlimited+Re-Use%22&type=%22image%22&page=1,,,,,,,,,
New York Public Library,New York Public Library,https://survey.glamelab.org/institutions/new-york-public-library,United States of America,,Library,https://www.nypl.org,https://www.wikidata.org/wiki/Q219555,2016,https://web.archive.org/web/20211225172000/https://www.nypl.org/blog/2016/01/05/share-public-domain-collections,All eligible data,https://www.nypl.org/help/about-nypl/legal-notices/website-terms-and-conditions,,Public domain,CC0,https://www.nypl.org/help/about-nypl/legal-notices/website-terms-and-conditions,None,https://api.repo.nypl.org/,https://github.com/NYPL-publicdomain/data-and-utilities,798564,Own website,314460,https://digitalcollections.nypl.org/search/index?filters%5Brights%5D=pd&keywords=,Flickr Commons,2525,https://www.flickr.com/photos/nypl/,DPLA,481579,https://dp.la/search?partner=%22The+New+York+Public+Library%22&rightsCategory=%22Unlimited+Re-Use%22&page=1,,,,,,,,,
"Universitetsbiblioteket, Lunds universitet","University Library, Lund University",https://survey.glamelab.org/institutions/universitetsbiblioteket-lunds-universitet,Sweden,Lund University,Library,https://www.ub.lu.se,https://www.wikidata.org/wiki/Q1129909,,,Some eligible data,,,Public domain,None,,None,,,61935,Alvin Portal,61935,https://www.alvin-portal.org/alvin/resultList.jsf?dswid=9075&af=%5B%22FREE_ONLINE%3Atrue%22%2C%22ARCHIVE_ORG_ID_facet%3A8%22%5D&p=1&fs=true&searchType=EXTENDED&sortString=relevance_sort_desc&noOfRows=10&query=&aq=%5B%5B%5D%5D&aqe=%5B%5D,,,,,,,,,,,,,,,
Uppsala universitetsbibliotek,Uppsala University Library,https://survey.glamelab.org/institutions/uppsala-universitetsbibliotek,Sweden,Uppsala University,Library,https://www.ub.uu.se,https://www.wikidata.org/wiki/Q2901382,,,Some eligible data,,,Public domain,None,,None,,,113582,DigitaltMuseum,113582,https://www.alvin-portal.org/alvin/resultList.jsf?dswid=9075&af=%5B%22FREE_ONLINE%3Atrue%22%2C%22ARCHIVE_ORG_ID_facet%3A3%22%5D&p=1&fs=true&searchType=EXTENDED&sortString=relevance_sort_desc&noOfRows=10&query=&aq=%5B%5B%5D%5D&aqe=%5B%5D,,,,,,,,,,,,,,,
Gustavianum,Gustavianum,https://survey.glamelab.org/institutions/gustavianum,Sweden,Uppsala University,Museum,https://www.gustavianum.uu.se,https://www.wikidata.org/wiki/Q1506922,,,Some eligible data,,,Public domain,None,,Paid,,,5862,Alvin Portal,5862,https://www.alvin-portal.org/alvin/resultList.jsf?dswid=8531&af=%5B%22ARCHIVE_ORG_ID_facet%3A28%22%2C%22FREE_ONLINE%3Atrue%22%5D&p=1&fs=true&searchType=EXTENDED&sortString=relevance_sort_desc&noOfRows=10&query=&aq=%5B%5B%5D%5D&aqe=%5B%5D,,,,,,,,,,,,,,,
"Institutionen för naturgeografi, Stockholms universitet","Department of Physical Geography, Stockholm University",https://survey.glamelab.org/institutions/institutionen-foer-naturgeografi-stockholms-universitet,Sweden,Stockholm University,University,https://www.natgeo.su.se,https://www.wikidata.org/wiki/Q18290964,,,Some eligible data,,,Public domain,None,,None,,,1393,Alvin Portal,1393,https://www.alvin-portal.org/alvin/resultList.jsf?dswid=9075&af=%5B%22FREE_ONLINE%3Atrue%22%2C%22ARCHIVE_ORG_ID_facet%3A15%22%5D&p=1&fs=true&searchType=EXTENDED&sortString=relevance_sort_desc&noOfRows=10&query=&aq=%5B%5B%5D%5D&aqe=%5B%5D,,,,,,,,,,,,,,,
"Folklivsarkivet med Skånes musiksamlingar, Lunds universitet","Folklife Archives with Skåne Music Collections, Lund University",https://survey.glamelab.org/institutions/folklivsarkivet-med-skanes-musiksamlingar-lunds-universitet,Sweden,Lund University,Archive,https://www.folklivsarkivet.lu.se,https://www.wikidata.org/wiki/Q18289866,,,Some eligible data,,,Public domain,None,,None,,,8410,Alvin Portal,8410,https://www.alvin-portal.org/alvin/resultList.jsf?dswid=-391&af=%5B%22ORG_PID%3Aalvin%5C%5C-organisation%5C%5C%3A2190%22%2C%22FREE_ONLINE%3Atrue%22%5D&p=1&fs=true&searchType=EXTENDED&sortString=relevance_sort_desc&noOfRows=50&query=Folklivsarkivet+med+Sk%C3%A5nes+musiksamlingar&aq=%5B%5B%7B%22A_FQ%22%3A%22Folklivsarkivet+med+Sk%C3%A5nes+musiksamlingar%22%7D%5D%5D&aqe=%5B%5D,,,,,,,,,,,,,,,
Saaremaa muuseum,Saaremaa Museum,https://survey.glamelab.org/institutions/saaremaa-muuseum,Estonia,,Museum,https://www.saaremaamuuseum.ee/,https://www.wikidata.org/wiki/Q12374495,,,Some eligible data,,,Public domain,None,,Paid,,,11578,Europeana,11578,https://www.europeana.eu/collections/organisation/1482250000046095246-saaremaa-museum?page=1&reusability=open,Muis.ee,0,https://www.muis.ee,,,,,,,,,,,,
Museo das Peregrinacións e de Santiago,Museum of Pilgrimages and Santiago,https://survey.glamelab.org/institutions/museo-das-peregrinacions-e-de-santiago,Spain,,Museum,https://museoperegrinacions.xunta.gal/gl,https://www.wikidata.org/wiki/Q15943410,,,Some eligible data,,,Public domain,None,,Information needed,,,20,Biblioteca Galiciana,20,https://biblioteca.galiciana.gal/es/consulta/resultados_busqueda_restringida.do?idOrigen=84334&tipoResultados=PAG&busq_bibfaceta=Museo+das+Peregrinaci%C3%B3ns+e+de+Santiago&descrip_bibfaceta=Museo+das+Peregrinaci%C3%B3ns+e+de+Santiago,,,,,,,,,,,,,,,
Schweizerisches Nationalmuseum,Swiss National Museum,https://survey.glamelab.org/institutions/schweizerisches-nationalmuseum,Switzerland,,Museum,https://www.nationalmuseum.ch,https://www.wikidata.org/wiki/Q2256718,,,Some eligible data,,,Open,None,,Paid,,,130,ZentralGut.ch,106,https://zentralgut.ch/nationalmuseum/,e-codices.unifr.ch,24,https://e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets,,,,,,,,,,,,
Rannarahva Muuseum,Coastal People's Museum,https://survey.glamelab.org/institutions/rannarahva-muuseum,Estonia,,Museum,https://rannarahvamuuseum.ee,https://www.wikidata.org/wiki/Q65262456,,,Some eligible data,,,Public domain,None,,Paid,,,1775,Europeana,1775,https://www.europeana.eu/collections/organisation/1482250000046129132-museum-of-coastal-folk?page=1&reusability=open,Muis.ee,0,https://www.muis.ee,,,,,,,,,,,,
Eesti Rahvusraamatukogu,National Library of Estonia,https://survey.glamelab.org/institutions/eesti-rahvusraamatukogu,Estonia,,Library,https://www.nlib.ee,https://www.wikidata.org/wiki/Q609471,,,Some eligible data,,,Open,None,,None,,,0,Muis.ee,0,https://www.muis.ee,,,,,,,,,,,,,,,
Sibelius-museo,Sibelius Museum,https://survey.glamelab.org/institutions/sibelius-museo,Finland,,Museum,https://sibeliusmuseum.fi,https://www.wikidata.org/wiki/Q4306382,,,Some eligible data,,,Open,None,,Paid,,,11047,Finna.fi,2287,https://www.finna.fi/Search/Results?sort=main_date_str+asc%2Cid+asc&view=grid&filter%5B%5D=free_online_boolean%3A%221%22&filter%5B%5D=%7Eusage_rights_str_mv%3A%22usage_A%22&filter%5B%5D=%7Eusage_rights_str_mv%3A%22usage_B%22&filter%5B%5D=%7Ebuilding%3A%220%2FSibeliusmuseum%2F%22&join=AND&bool0%5B%5D=AND&lookfor0%5B%5D=&type0%5B%5D=AllFields,Finna.fi,8760,https://www.finna.fi/Search/Results?sort=main_date_str+asc%2Cid+asc&view=grid&filter%5B%5D=free_online_boolean%3A%221%22&filter%5B%5D=%7Eusage_rights_str_mv%3A%22usage_A%22&filter%5B%5D=%7Eusage_rights_str_mv%3A%22usage_B%22&filter%5B%5D=%7Ebuilding%3A%220%2FSibeliusmuseumsArkiv%2F%22&join=AND&bool0%5B%5D=AND&lookfor0%5B%5D=&type0%5B%5D=AllFields,,,,,,,,,,,,
Majalah Horison,Horison Magazine,https://survey.glamelab.org/institutions/majalah-horison,Indonesia,,Archive,,https://www.wikidata.org/wiki/Q20427642,2016-01-01,https://commons.wikimedia.org/wiki/Category:Majalah_Horison_tahun_1982,Some eligible data,,,Open,,,N/A,,,295,Wikimedia Commons,295,https://commons.wikimedia.org/wiki/Category:Majalah_Horison,,,,,,,,,,,,,,,
"Musée national d’archéologie, d’histoire et d’art Luxembourg (MNAHA)","National Museum of Archaeology, History and Art Luxembourg (MNAHA)",https://survey.glamelab.org/institutions/musee-national-darcheologie-dhistoire-et-dart-luxembourg-mnaha,Luxembourg,,Museum,https://www.mnaha.lu/fr/,https://www.wikidata.org/wiki/Q2585886,,,All eligible data,https://collections.mnaha.lu/conditions-of-use/,,Public domain,CC0,https://collections.mnaha.lu/conditions-of-use/,Free,,,0,,,,,,,,,,,,,,,,,,
Archivo Nacional Aruba,National Archives of Aruba,https://survey.glamelab.org/institutions/archivo-nacional-aruba,Aruba,,Archive,https://ana.aw/,https://www.wikidata.org/wiki/Q17082115,,,All eligible data,,,Public domain,,,N/A,,,74921,Coleccion Aruba,74921,https://coleccion.aw/browse/?col=archivo-nacional-aruba,,,,,,,,,,,,,,,
Union di Organisacionnan Cultural Arubano,Union of Aruban Cultural Organizations,https://survey.glamelab.org/institutions/union-di-organisacionnan-cultural-arubano,Aruba,,Other,http://unoca.aw/,https://www.wikidata.org/wiki/Q133797066,,,All eligible data,,,Public domain,,,N/A,,,356,Coleccion Aruba,356,https://coleccion.aw/browse/?col=unoca,,,,,,,,,,,,,,,
Museo Arkeologico Nacional Aruba,National Archaeological Museum Aruba,https://survey.glamelab.org/institutions/museo-arkeologico-nacional-aruba,Aruba,,Museum,https://manaruba.org/,https://www.wikidata.org/wiki/Q4785386,,,All eligible data,,,Public domain,,,Free,,,2612,Coleccion Aruba,2612,https://coleccion.aw/browse/?col=mana.aw,,,,,,,,,,,,,,,
Stichting Monumentenfonds Aruba,Monuments Fund of Aruba,https://survey.glamelab.org/institutions/stichting-monumentenfonds-aruba,Aruba,,Other,https://monumentenfondsaruba.org/,https://www.wikidata.org/wiki/Q57342640,,,All eligible data,,,Public domain,,,N/A,,,2732,Coleccion Aruba,2732,https://coleccion.aw/browse/?col=monumentsfundaruba,,,,,,,,,,,,,,,
Plantage Zorg en Hoop,Plantation Zorg en Hoop,https://survey.glamelab.org/institutions/plantage-zorg-en-hoop,Aruba,,Other,https://www.plantagezorgenhoop.nl/,https://www.wikidata.org/wiki/Q1930604,,,All eligible data,,,Public domain,,,N/A,,,3664,Coleccion Aruba,3664,https://coleccion.aw/browse/?col=plantagezorgenhoop,,,,,,,,,,,,,,,
University of Aruba,University of Aruba,https://survey.glamelab.org/institutions/university-of-aruba,Aruba,,University,https://www.ua.aw/,https://www.wikidata.org/wiki/Q2542715,,,Some eligible data,,,Public domain,,,N/A,,,81,Coleccion Aruba,81,https://coleccion.aw/browse/?col=universityofaruba,,,,,,,,,,,,,,,
Departamento di Cultura Aruba,Department of Culture Aruba,https://survey.glamelab.org/institutions/departamento-di-cultura-aruba,Aruba,,Government,https://cultura.aw/,,,,Some eligible data,,,Public domain,,,N/A,,,56,Coleccion Aruba,56,https://coleccion.aw/browse/?col=cultura.aw,,,,,,,,,,,,,,,
Monumentenbureau Aruba,Monuments Bureau Aruba,https://survey.glamelab.org/institutions/monumentenbureau-aruba,Aruba,,Other,https://www.org.aw/m/org/nl/monumentenbureau,https://www.wikidata.org/wiki/Q65767010,,,Some eligible data,,,Public domain,,,N/A,,,281,Coleccion Aruba,281,https://coleccion.aw/browse/?col=monumentenbureau,,,,,,,,,,,,,,,
Telearuba,Aruba TV,https://survey.glamelab.org/institutions/telearuba,Aruba,,Other,https://telearuba.aw/,https://www.wikidata.org/wiki/Q7117914,,,Some eligible data,,,Public domain,,,N/A,,,180,Coleccion Aruba,180,https://coleccion.aw/browse/?col=telearuba,,,,,,,,,,,,,,,
UNESCO Aruba,UNESCO Aruba,https://survey.glamelab.org/institutions/unesco-aruba,Aruba,,Other,https://www.unesco.org/en/countries/aw,https://www.wikidata.org/wiki/Q113111450,,,Some eligible data,,,Public domain,,,N/A,,,36,Coleccion Aruba,36,https://coleccion.aw/browse/?col=unescoaruba,,,,,,,,,,,,,,,
Stichting Rancho,Rancho Foundation,https://survey.glamelab.org/institutions/stichting-rancho,Aruba,,Other,https://www.stichtingrancho.org,https://www.wikidata.org/wiki/Q134062464,,,Some eligible data,,,Public domain,,,N/A,,,434,Coleccion Aruba,434,https://coleccion.aw/browse/?col=stichtingrancho,,,,,,,,,,,,,,,
